1
Frequency	Efficiency
850000000	0.0804473121868929
852000000	0.0919173023092346
854000000	0.108359778006038
856000000	0.12355462932434
858000000	0.126936567571165
860000000	0.117892065986695
862000000	0.110012931977405
864000000	0.10388884762667
866000000	0.101150051592723
868000000	0.0981793193212468
870000000	0.0910581937169613
872000000	0.0797720503848862
874000000	0.0665183824908479
876000000	0.0556661368828654
878000000	0.0490894208645845
880000000	0.0459109854801408
882000000	0.0436821347206787
884000000	0.0414305676925443
886000000	0.037896741741655
888000000	0.0326903753313037
890000000	0.0275892536573627
892000000	0.0241820662897216
894000000	0.0215451938355637
896000000	0.0192527919787499
898000000	0.016973633845412
900000000	0.0150261661201881
