1
Frequency	Efficiency
2400000000	0.744738817214966
2410000000	0.747297823429108
2420000000	0.720745086669922
2430000000	0.710575997829437
2440000000	0.734908223152161
2450000000	0.727730214595795
2460000000	0.716461896896362
2470000000	0.739426732063293
2480000000	0.760979652404785
2490000000	0.740450084209442
2500000000	0.761634290218353
2510000000	0.798785269260407
2520000000	0.757215857505798
2530000000	0.733816027641296
2540000000	0.754461884498596
2550000000	0.729726910591126
2560000000	0.670452117919922
2570000000	0.661971151828766
2580000000	0.680453300476074
2590000000	0.625606894493103
2600000000	0.589206635951996
