1
Frequency	Efficiency
2400000000	0.764353215694428
2410000000	0.779707610607147
2420000000	0.803669273853302
2430000000	0.807019054889679
2440000000	0.83200204372406
2450000000	0.857981264591217
2460000000	0.853858113288879
2470000000	0.835089266300201
2480000000	0.859575033187866
2490000000	0.860764801502228
2500000000	0.860828936100006
2510000000	0.890267133712769
2520000000	0.889122009277344
2530000000	0.874998509883881
2540000000	0.883004724979401
2550000000	0.885121464729309
2560000000	0.836741745471954
2570000000	0.810348749160767
2580000000	0.830034077167511
2590000000	0.778698325157166
2600000000	0.71530556678772
