1
Frequency	Efficiency
2400000000	0.0684260427951813
2410000000	0.0720086768269539
2420000000	0.0866904854774475
2430000000	0.0970335006713867
2440000000	0.100044451653957
2450000000	0.113832905888557
2460000000	0.12991027534008
2470000000	0.128932595252991
2480000000	0.141520485281944
2490000000	0.17212538421154
2500000000	0.192317336797714
2510000000	0.209565907716751
2520000000	0.251544982194901
2530000000	0.301859319210052
2540000000	0.325997233390808
2550000000	0.373781740665436
2560000000	0.434049695730209
2570000000	0.454676926136017
2580000000	0.467588096857071
2590000000	0.458256453275681
2600000000	0.438158571720123
