2
Frequency=2440(MHz)

Phi	Theta	Gain . dB
0	-3.1415926536	-14.6743158730625
0	-3.0917261035	-14.8508081693299
0	-3.0418595535	-15.1342460331011
0	-2.9919930034	-15.4140570810176
0	-2.9421264534	-15.4609565530042
0	-2.8922599033	-15.063993091087
0	-2.8423933532	-14.2103293639312
0	-2.7925268032	-13.0909405566434
0	-2.7426602531	-11.9338930321938
0	-2.6927937031	-10.8851522043762
0	-2.642927153	-10.0408673474515
0	-2.593060603	-9.46327320579105
0	-2.5431940529	-9.21004048695763
0	-2.4933275028	-9.35418918813715
0	-2.4434609528	-9.98065100938656
0	-2.3935944027	-11.2309261763961
0	-2.3437278527	-13.3288823406287
0	-2.2938613026	-16.7052321640177
0	-2.2439947526	-21.8360249400663
0	-2.1941282025	-23.180636926829
0	-2.1442616525	-18.6634552083412
0	-2.0943951024	-15.828108232202
0	-2.0445285523	-14.610537194532
0	-1.9946620023	-14.7002522167823
0	-1.9447954522	-16.0519959685522
0	-1.8949289022	-18.6331949742693
0	-1.8450623521	-20.2840316104565
0	-1.7951958021	-17.3354662887088
0	-1.745329252	-13.8334040515284
0	-1.6954627019	-11.4958684380765
0	-1.6455961519	-10.2109989330097
0	-1.5957296018	-9.85593894537424
0	-1.5458630518	-10.4256420084741
0	-1.4959965017	-12.0728793745794
0	-1.4461299517	-15.1447579860185
0	-1.3962634016	-19.1128077291355
0	-1.3463968515	-17.2003343508154
0	-1.2965303015	-12.751206233557
0	-1.2466637514	-9.77487095818591
0	-1.1967972014	-7.99052282919557
0	-1.1469306513	-7.07350853985134
0	-1.0970641013	-6.83646871118447
0	-1.0471975512	-7.08896687338759
0	-0.9973310011	-7.47563510334466
0	-0.9474644511	-7.33027271844145
0	-0.897597901	-6.15783833265225
0	-0.847731351	-4.33048332622444
0	-0.7978648009	-2.48577478680606
0	-0.7479982509	-0.948974993001003
0	-0.6981317008	0.18488943559323
0	-0.6482651507	0.903807537420412
0	-0.5983986007	1.22297151606998
0	-0.5485320506	1.16604918127147
0	-0.49866550057	0.808373937083144
